pollster,date,sampleSize,marginError,dvalue,rvalue,state,Year,Type
CBS News/NYT/YouGov,2014-07-24,,3.7,38.0,55.0,Texas,2014,Senate
UT/Texas Tribune*,2014-06-08,,2.8,25.0,36.0,Texas,2014,Senate
PPP (D),2014-04-13,,4.1,32.0,49.0,Texas,2014,Senate
rcp_average,,,,31.3,53.0,Texas,2014,Senate
rcp_average,2014-10-29,,,48.5,38.8,Virginia,2014,Senate
Christopher Newport Univ.*,2014-10-29,634.0,3.9,51.0,44.0,Virginia,2014,Senate
Roanoke College*,2014-10-25,738.0,3.6,47.0,35.0,Virginia,2014,Senate
CBS News/NYT/YouGov*,2014-10-23,1605.0,4.0,49.0,39.0,Virginia,2014,Senate
Univ. of Mary Washington*,2014-10-06,444.0,5.3,47.0,37.0,Virginia,2014,Senate
Christopher Newport Univ.*,2014-10-05,690.0,3.7,51.0,39.0,Virginia,2014,Senate
CBS News/NYT/YouGov*,2014-10-01,1656.0,3.0,51.0,39.0,Virginia,2014,Senate
PPP (D),2014-09-23,625.0,3.9,49.0,37.0,Virginia,2014,Senate
Quinnipiac,2014-09-22,1010.0,3.1,50.0,41.0,Virginia,2014,Senate
Roanoke College*,2014-09-19,630.0,3.9,49.0,29.0,Virginia,2014,Senate
Christopher Newport Univ.*,2014-09-07,713.0,3.7,53.0,31.0,Virginia,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1635.0,3.0,51.0,39.0,Virginia,2014,Senate
Hampton* University,2014-07-30,804.0,2.9,55.0,32.0,Virginia,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.2,53.0,43.0,Virginia,2014,Senate
Roanoke College*,2014-07-19,,4.2,47.0,22.0,Virginia,2014,Senate
Rasmussen Reports,2014-06-12,750.0,4.0,53.0,36.0,Virginia,2014,Senate
Quinnipiac*,2014-03-24,,2.7,46.0,31.0,Virginia,2014,Senate
Roanoke College,2014-02-28,,3.9,56.0,29.0,Virginia,2014,Senate
Rasmussen Reports,2014-01-21,1000.0,3.0,51.0,37.0,Virginia,2014,Senate
Christopher Newport Univ.,2014-01-22,,3.1,50.0,30.0,Virginia,2014,Senate
Roanoke College,2014-01-17,,4.2,50.0,21.0,Virginia,2014,Senate
WFB/The Polling Company (R),2014-11-20,,4.0,51.0,33.0,Virginia,2014,Senate
rcp_average,,,,48.5,38.8,Virginia,2014,Senate
rcp_average,2014-10-23,,,36.7,53.3,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-10-23,877.0,5.0,34.0,56.0,West Virginia,2014,Senate
Rasmussen Reports,2014-10-01,750.0,4.0,39.0,50.0,West Virginia,2014,Senate
The West Virginia Poll,2014-08-23,401.0,4.9,37.0,54.0,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1066.0,4.0,33.0,56.0,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1284.0,4.0,32.0,55.0,West Virginia,2014,Senate
Rasmussen Reports,2014-08-20,750.0,4.0,33.0,50.0,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,2.7,43.0,51.0,West Virginia,2014,Senate
The West Virginia Poll,2014-05-22,400.0,4.9,38.0,49.0,West Virginia,2014,Senate
Rasmussen Reports,2014-05-15,750.0,4.0,39.0,48.0,West Virginia,2014,Senate
Rasmussen Reports,2014-02-20,500.0,4.5,35.0,49.0,West Virginia,2014,Senate
PPP (D),2014-09-22,,2.9,36.0,50.0,West Virginia,2014,Senate
The West Virginia Poll,2014-08-22,,4.9,40.0,45.0,West Virginia,2014,Senate
rcp_average,,,,36.7,53.3,West Virginia,2014,Senate
rcp_average,2014-10-23,,,27.0,65.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-10-23,258.0,11.0,27.0,67.0,Wyoming,2014,Senate
Rasmussen Reports,2014-08-21,700.0,4.0,27.0,63.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-10-01,264.0,7.0,17.0,75.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-09-02,350.0,8.0,21.0,66.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,5.1,23.0,68.0,Wyoming,2014,Senate
rcp_average,,,,27.0,65.0,Wyoming,2014,Senate
