										
										
										
pollster	date	sampleSiz	dvalue	rvalue	finalD	finalR	year	winner	type	
Politico/Morning Consult	9/24 - 9/27	1999 RV	45	41	47.8	50.6	2022	R	congressional	
NPR/PBS/Marist	9/20 - 9/26	1029 RV	46	38	47.8	50.6	2022	R	congressional	
Economist/YouGov	9/18 - 9/21	1281 RV	52	48	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	9/18 - 9/20	1998 RV	44	40	47.8	50.6	2022	R	congressional	
Quinnipiac	9/10 - 9/13	RV	47	43	47.8	50.6	2022	R	congressional	
CNBC/Change Research (D)	8/30 - 9/2	LV	49	45	47.8	50.6	2022	R	congressional	
CNN	8/3 - 9/7	1838 RV	45	44	47.8	50.6	2022	R	congressional	
NBC News	8/14 - 8/17	790 RV	47	46	47.8	50.6	2022	R	congressional	
Federalist/Susquehanna**	8/12 - 8/18	800 LV	38	39	47.8	50.6	2022	R	congressional	
Quinnipiac	7/27 - 8/2	RV	45	44	47.8	50.6	2022	R	congressional	
Democracy Corps (D)	6/14 - 6/21	2000 RV	46	44	47.8	50.6	2022	R	congressional	
Quinnipiac	5/18 - 5/24	1316 A	49	40	47.8	50.6	2022	R	congressional	
NBC News	4/17 - 4/20	790 RV	47	42	47.8	50.6	2022	R	congressional	
Democracy Corps (D)	2/18 - 2/23	1000 RV	48	42	47.8	50.6	2022	R	congressional	
										
										
RCP Average	10/25 - 11/2	--	49.3	42.5	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/31 - 11/2	1363 LV	52	42	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	10/29 - 10/31	1000 RV	48	43	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	10/29 - 10/31	14663 LV	50	43	50.8	47.7	2020	D	congressional	
The Hill/HarrisX	10/25 - 10/28	2359 LV	47	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/25 - 10/27	1365 LV	52	42	50.8	47.7	2020	D	congressional	
USC Dornsife	10/20 - 11/2	5413 LV	53	45	50.8	47.7	2020	D	congressional	
USA Today/Suffolk	10/23 - 10/27	1000 LV	49	39	50.8	47.7	2020	D	congressional	
CNN	10/23 - 10/26	886 LV	54	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/18 - 10/20	1344 LV	50	43	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/11 - 10/13	1333 LV	49	41	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	10/9 - 10/12	1000 RV	49	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/27 - 9/30	1350 LV	48	42	50.8	47.7	2020	D	congressional	
Monmouth	9/24 - 9/27	809 LV	50	44	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/20 - 9/22	1124 LV	47	43	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	9/18 - 9/20	1989 RV	47	41	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	9/13 - 9/16	1000 RV	49	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/13 - 9/15	1062 LV	48	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/6 - 9/8	1057 LV	48	41	50.8	47.7	2020	D	congressional	
Monmouth	9/3 - 9/8	758 LV	49	45	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/30 - 9/1	1207 RV	51	38	50.8	47.7	2020	D	congressional	
USA Today/Suffolk	8/28 - 8/31	1000 RV	48	42	50.8	47.7	2020	D	congressional	
Grinnell/Selzer	8/26 - 8/30	827 LV	48	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/23 - 8/25	1254 RV	47	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/16 - 8/18	1246 RV	49	38	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	8/9 - 8/12	900 RV	47	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/9 - 8/11	1208 RV	49	39	50.8	47.7	2020	D	congressional	
NPR/PBS/Marist	8/3 - 8/11	1108 RV	49	43	50.8	47.7	2020	D	congressional	
GU Politics/Battleground	8/1 - 8/6	1000 LV	50	44	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/2 - 8/4	1229 RV	50	38	50.8	47.7	2020	D	congressional	
Emerson	7/29 - 7/30	964 LV	46	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/26 - 7/28	1260 RV	48	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/19 - 7/21	1222 RV	47	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	7/17 - 7/19	1991 RV	47	37	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/12 - 7/14	1252 RV	48	40	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	7/9 - 7/12	900 RV	47	43	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/5 - 7/7	1165 RV	51	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/28 - 6/30	1198 RV	49	40	50.8	47.7	2020	D	congressional	
Monmouth	6/26 - 6/30	733 RV	50	42	50.8	47.7	2020	D	congressional	
USA Today/Suffolk	6/25 - 6/29	1000 RV	51	37	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/21 - 6/23	1230 RV	48	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/14 - 6/16	1160 RV	49	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/7 - 6/9	1241 RV	47	39	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	5/28 - 6/2	1000 RV	51	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	5/31 - 6/2	1244 RV	46	40	50.8	47.7	2020	D	congressional	
Monmouth	5/28 - 6/1	742 RV	52	43	50.8	47.7	2020	D	congressional	
Economist/YouGov	5/23 - 5/26	1157 RV	47	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	5/17 - 5/19	1235 RV	47	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	5/10 - 5/12	1175 RV	48	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	5/3 - 5/5	1209 RV	47	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	5/2 - 5/3	1987 RV	44	39	50.8	47.7	2020	D	congressional	
Monmouth	4/30 - 5/4	739 RV	52	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	4/26 - 4/28	1222 RV	46	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	4/19 - 4/21	1144 RV	46	38	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	4/18 - 4/19	1991 RV	44	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	4/12 - 4/14	1166 RV	47	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	4/5 - 4/7	1147 RV	48	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	4/3 - 4/5	1990 RV	46	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	3/29 - 3/31	1194 RV	48	39	50.8	47.7	2020	D	congressional	
Grinnell/Selzer	3/27 - 3/30	777 LV	50	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	3/15 - 3/17	1129 RV	49	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	3/8 - 3/10	1191 RV	47	42	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	3/6 - 3/8	1992 RV	46	40	50.8	47.7	2020	D	congressional	
CNN	3/4 - 3/7	1084 RV	53	44	50.8	47.7	2020	D	congressional	
Economist/YouGov	3/1 - 3/3	1134 RV	51	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	2/23 - 2/25	1184 RV	48	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	2/21 - 2/23	1992 RV	45	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	2/16 - 2/18	1150 RV	48	41	50.8	47.7	2020	D	congressional	
NPR/PBS/Marist	2/13 - 2/16	1164 RV	48	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	2/7 - 1/9	1996 RV	45	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	2/9 - 2/11	1140 RV	48	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	2/2 - 2/4	1277 RV	48	41	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	1/26 - 1/29	1000 RV	49	43	50.8	47.7	2020	D	congressional	
Economist/YouGov	1/26 - 1/28	1182 RV	48	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	1/24 - 1/26	1992 RV	45	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	1/19 - 1/21	1176 RV	44	43	50.8	47.7	2020	D	congressional	
Economist/YouGov	1/11 - 1/14	1108 RV	46	42	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	1/10 - 1/12	1996 RV	42	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	1/5 - 1/7	1185 RV	48	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	12/28 - 12/31	1123 RV	50	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	12/22 - 12/24	1240 RV	47	41	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	12/14 - 12/17	733 RV	49	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	12/14 - 12/17	1164 RV	48	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	12/7 - 12/10	1209 RV	48	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	12/1 - 12/3	1200 RV	47	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	11/24 - 11/26	1189 RV	47	41	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	11/22 - 11/24	1988 RV	45	36	50.8	47.7	2020	D	congressional	
Economist/YouGov	11/17 - 11/19	1224 RV	46	39	50.8	47.7	2020	D	congressional	
NPR/PBS/Marist	11/11 - 11/15	988 RV	46	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	11/10 - 11/12	1206 RV	49	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	11/8 - 11/10	1993 RV	45	37	50.8	47.7	2020	D	congressional	
Economist/YouGov	11/3 - 11/5	1201 RV	47	41	50.8	47.7	2020	D	congressional	
NBC News/Wall St. Jrnl	10/27 - 10/30	720 RV	49	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/27 - 10/29	1274 RV	47	41	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	10/25 - 10/28	1997 RV	46	38	50.8	47.7	2020	D	congressional	
USA Today/Suffolk	10/23 - 10/26	1000 RV	46	46	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/20 - 10/22	1204 RV	48	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/13 - 10/15	1136 RV	49	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	10/11 - 10/13	1993 RV	45	36	50.8	47.7	2020	D	congressional	
GU Politics/Battleground	10/6 - 10/10	1000 LV	48	42	50.8	47.7	2020	D	congressional	
NPR/PBS/Marist	10/3 - 10/8	926 RV	43	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	10/6 - 10/8	1241 RV	46	42	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/28 - 10/1	1087 RV	47	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	9/27 - 9/30	2488 RV	46	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/22 - 9/24	1198 RV	47	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/14 - 9/17	1184 RV	47	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	9/13 - 9/16	1994 RV	44	37	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/8 - 9/10	1188 RV	49	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	9/1 - 9/3	1069 RV	46	41	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/24 - 8/27	1093 RV	48	37	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	8/23 - 8/25	1987 RV	45	37	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/17 - 8/20	1111 RV	47	39	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/10 - 8/13	1127 RV	48	38	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	8/9 - 8/11	1993 RV	43	37	50.8	47.7	2020	D	congressional	
Economist/YouGov	8/3 - 8/6	1161 RV	48	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/27 - 7/30	1101 RV	48	37	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	7/25 - 7/27	1994 RV	42	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/21 - 7/23	1212 RV	47	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/14 - 7/16	1149 RV	47	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	7/12 - 7/14	1984 RV	44	35	50.8	47.7	2020	D	congressional	
Economist/YouGov	7/7 - 7/9	1140 RV	47	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/30 - 7/2	1265 RV	48	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	6/29 - 7/1	1472 RV	45	35	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/22 - 6/25	1111 RV	46	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	6/21 - 6/24	1991 RV	44	38	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/16 - 6/18	1202 RV	47	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	6/14 - 6/16	1992 RV	43	37	50.8	47.7	2020	D	congressional	
Economist/YouGov	6/9 - 6/11	1107 RV	46	40	50.8	47.7	2020	D	congressional	
Economist/YouGov	5/26 - 5/28	1120 RV	48	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	5/10 - 5/12	1995 RV	43	37	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	4/19 - 4/21	1992 RV	45	34	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	4/12 - 4/14	1998 RV	42	39	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	4/5 - 4/7	1992 RV	45	36	50.8	47.7	2020	D	congressional	
GU Politics/Battleground	3/31 - 4/4	1000 RV	42	37	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	3/29 - 4/1	1945 RV	42	40	50.8	47.7	2020	D	congressional	
PPP (D)	3/27 - 3/28	846 RV	51	40	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	3/22 - 3/24	1994 RV	43	38	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	2/22 - 2/24	1994 RV	42	36	50.8	47.7	2020	D	congressional	
Emerson	2/14 - 2/16	1000 RV	53	47	50.8	47.7	2020	D	congressional	
Emerson	1/20 - 1/21	942 RV	52	48	50.8	47.7	2020	D	congressional	
Politico/Morning Consult	1/18 - 1/22	1996 RV	43	38	50.8	47.7	2020	D	congressional	
Emerson	12/6 - 12/9	800 RV	46	44	50.8	47.7	2020	D	congressional	
										
					`					
RCP Average	11/1 - 11/7	--	46	45.4	48	49.1	2016	R	congressional	
Bloomberg	11/4 - 11/6	799 LV	45	48	48	49.1	2016	R	congressional	
Economist/YouGov	11/4 - 11/7	3677 LV	45	42	48	49.1	2016	R	congressional	
FOX News	11/3 - 11/6	1295 LV	45	46	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	11/3 - 11/5	1282 LV	47	44	48	49.1	2016	R	congressional	
McClatchy/Marist	11/1 - 11/3	940 LV	48	47	48	49.1	2016	R	congressional	
Economist/YouGov	10/30 - 11/1	1228 LV	46	41	48	49.1	2016	R	congressional	
Reuters/Ipsos	10/29 - 11/2	1858 LV	42	41	48	49.1	2016	R	congressional	
CBS News/NY Times	10/28 - 11/1	1333 RV	49	46	48	49.1	2016	R	congressional	
Economist/YouGov	10/22 - 10/26	1209 LV	45	40	48	49.1	2016	R	congressional	
FOX News	10/22 - 10/25	1221 LV	47	45	48	49.1	2016	R	congressional	
ABC News	10/22 - 10/24	828 LV	47	46	48	49.1	2016	R	congressional	
Associated Press-GfK	10/20 - 10/24	1212 LV	46	41	48	49.1	2016	R	congressional	
CNN/ORC	10/20 - 10/23	779 LV	50	47	48	49.1	2016	R	congressional	
Reuters/Ipsos	10/20 - 10/24	1170 LV	44	39	48	49.1	2016	R	congressional	
Economist/YouGov	10/15 - 10/18	925 RV	43	38	48	49.1	2016	R	congressional	
Bloomberg	10/14 - 10/17	1006 LV	47	43	48	49.1	2016	R	congressional	
Reuters/Ipsos	10/13 - 10/17	1190 LV	43	39	48	49.1	2016	R	congressional	
CBS News	10/12 - 10/16	1189 LV	50	45	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	10/10 - 10/13	905 LV	47	44	48	49.1	2016	R	congressional	
ABC News/Wash Post	10/10 - 10/13	740 LV	47	44	48	49.1	2016	R	congressional	
FOX News	10/10 - 10/12	917 LV	48	42	48	49.1	2016	R	congressional	
GWU/Battleground	10/8 - 10/13	1000 LV	47	42	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	10/8 - 10/10	900 RV	48	42	48	49.1	2016	R	congressional	
Reuters/Ipsos	10/6 - 10/10	2363 A	46	36	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	10/8 - 10/9	500 RV	49	42	48	49.1	2016	R	congressional	
Economist/YouGov	10/7 - 10/8	971 RV	42	39	48	49.1	2016	R	congressional	
Economist/YouGov	10/1 - 10/3	911 RV	43	37	48	49.1	2016	R	congressional	
Reuters/Ipsos	9/29 - 10/3	1669 RV	42	38	48	49.1	2016	R	congressional	
FOX News	9/27 - 9/29	911 LV	44	43	48	49.1	2016	R	congressional	
Reuters/Ipsos	9/22 - 9/26	1041 LV	42	36	48	49.1	2016	R	congressional	
Bloomberg	9/21 - 9/24	1002 LV	46	44	48	49.1	2016	R	congressional	
Economist/YouGov	9/22 - 9/24	948 RV	43	38	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	9/16 - 9/19	1000 RV	48	45	48	49.1	2016	R	congressional	
McClatchy/Marist	9/15 - 9/20	758 LV	49	45	48	49.1	2016	R	congressional	
Economist/YouGov	9/18 - 9/19	936 RV	43	36	48	49.1	2016	R	congressional	
Reuters/Ipsos	9/15 - 9/19	1111 LV	39	40	48	49.1	2016	R	congressional	
Economist/YouGov	9/10 - 9/13	926 RV	44	38	48	49.1	2016	R	congressional	
Reuters/Ipsos	9/8 - 9/12	1752 A	40	38	48	49.1	2016	R	congressional	
Economist/YouGov	9/4 - 9/6	955 RV	41	38	48	49.1	2016	R	congressional	
Reuters/Ipsos	9/1 - 9/5	1084 LV	40	39	48	49.1	2016	R	congressional	
CNN/ORC	9/1 - 9/4	786 LV	47	49	48	49.1	2016	R	congressional	
GWU/Battleground	8/28 - 9/1	1000 LV	45	43	48	49.1	2016	R	congressional	
McClatchy/Marist	8/1 - 8/3	983 RV	49	41	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	7/31 - 8/3	800 RV	47	43	48	49.1	2016	R	congressional	
PPP (D)	7/29 - 7/30	1276 LV	47	44	48	49.1	2016	R	congressional	
FOX News	6/26 - 6/28	1017 RV	46	41	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	6/19 - 6/23	1000 RV	46	46	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	5/15 - 5/19	1000 RV	48	44	48	49.1	2016	R	congressional	
ABC News/Wash Post	5/16 - 5/19	829 RV	45	45	48	49.1	2016	R	congressional	
GWU/Battleground	4/17 - 4/20	1000 LV	46	41	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	4/10 - 4/14	1000 RV	47	45	48	49.1	2016	R	congressional	
PPP (D)	3/24 - 3/26	1083 RV	43	43	48	49.1	2016	R	congressional	
PPP (D)	2/2 - 2/3	1236 RV	47	41	48	49.1	2016	R	congressional	
PPP (D)	12/16 - 12/17	1267 RV	43	43	48	49.1	2016	R	congressional	
NBC News/Wall St. Jrnl	10/25 - 10/29	847 RV	45	45	48	49.1	2016	R	congressional	
Quinnipiac	7/23 - 7/28	1644 RV	37	39	48	49.1	2016	R	congressional	
Quinnipiac	5/19 - 5/26	1711 RV	39	36	48	49.1	2016	R	congressional	
Rasmussen Reports	5/10 - 5/14	2500 LV	38	38	48	49.1	2016	R	congressional	
										
										
RCP Average	10/15 - 11/2	--	43.2	45.6	45.7	51.4	2014	R	congressional	
NBC News/Wall St. Jrnl	10/30 - 11/1	826 LV	48	48	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/27 - 11/2	3500 LV	41	44	45.7	51.4	2014	R	congressional	
FOX News	10/25 - 10/27	734 LV	45	44	45.7	51.4	2014	R	congressional	
CBS News	10/23 - 10/27	624 LV	42	50	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	10/24 - 10/26	540 LV	47	46	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	10/23 - 10/26	758 LV	44	50	45.7	51.4	2014	R	congressional	
USA Today/PSRAI	10/23 - 10/26	697 LV	43	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/20 - 10/26	3500 LV	41	43	45.7	51.4	2014	R	congressional	
Associated Press/GfK	10/16 - 10/20	968 LV	32	40	45.7	51.4	2014	R	congressional	
Pew Research	10/15 - 10/20	1126 LV	47	46	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/13 - 10/19	3500 LV	41	41	45.7	51.4	2014	R	congressional	
FOX News	10/12 - 10/14	831 LV	42	45	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	10/9 - 10/12	629 LV	43	50	45.7	51.4	2014	R	congressional	
NBC News/Wall St. Jrnl	10/8 - 10/12	666 LV	47	48	45.7	51.4	2014	R	congressional	
Rasmussen Reports	10/6 - 10/12	3500 LV	40	40	45.7	51.4	2014	R	congressional	
CBS News	10/3 - 10/6	575 LV	43	49	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/29 - 10/5	3500 LV	41	39	45.7	51.4	2014	R	congressional	
FOX News	9/28 - 9/30	845 LV	40	47	45.7	51.4	2014	R	congressional	
Gallup	9/25 - 9/30	1095 RV	46	47	45.7	51.4	2014	R	congressional	
McClatchy/Marist	9/24 - 9/29	884 RV	45	44	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	9/25 - 9/28	701 LV	47	45	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/22 - 9/28	3500 LV	40	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/15 - 9/21	3500 LV	40	40	45.7	51.4	2014	R	congressional	
CBS News/NY Times	9/12 - 9/15	470 LV	42	49	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/8 - 9/14	3500 LV	41	38	45.7	51.4	2014	R	congressional	
FOX News	9/7 - 9/9	833 LV	40	47	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	9/5 - 9/7	LV	45	49	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	9/4 - 9/7	LV	44	47	45.7	51.4	2014	R	congressional	
Pew Research	9/2 - 9/9	1150 LV	44	47	45.7	51.4	2014	R	congressional	
Rasmussen Reports	9/1 - 9/7	3500 LV	39	41	45.7	51.4	2014	R	congressional	
GWU/Battleground	8/23 - 8/28	1000 LV	42	46	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/25 - 8/31	3500 LV	40	41	45.7	51.4	2014	R	congressional	
USA Today/Pew Research	8/20 - 8/24	1171 RV	47	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/18 - 8/24	3500 LV	39	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/11 - 8/17	3500 LV	39	39	45.7	51.4	2014	R	congressional	
FOX News	8/10 - 8/12	1001 RV	46	39	45.7	51.4	2014	R	congressional	
Gallup	8/7 - 8/10	RV	47	45	45.7	51.4	2014	R	congressional	
Reason-Rupe/PSRAI	8/6 - 8/10	LV	42	41	45.7	51.4	2014	R	congressional	
McClatchy/Marist	8/4 - 8/7	806 RV	38	43	45.7	51.4	2014	R	congressional	
Rasmussen Reports	8/4 - 8/10	3500 LV	39	40	45.7	51.4	2014	R	congressional	
CBS News	7/29 - 8/4	RV	41	37	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/28 - 8/3	3500 LV	38	42	45.7	51.4	2014	R	congressional	
FOX News	7/20 - 7/22	1057 RV	43	41	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/21 - 7/27	3500 LV	41	39	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	7/18 - 7/20	899 RV	48	44	45.7	51.4	2014	R	congressional	
Pew Research	7/8 - 7/14	1420 RV	47	45	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/14 - 7/20	3500 LV	39	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	7/7 - 7/13	3500 LV	39	38	45.7	51.4	2014	R	congressional	
Quinnipiac	6/24 - 6/30	1446 RV	41	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/30 - 7/6	3500 LV	41	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/23 - 6/29	3500 LV	40	38	45.7	51.4	2014	R	congressional	
FOX News	6/21 - 6/23	1018 RV	42	42	45.7	51.4	2014	R	congressional	
CBS News/NY Times	6/20 - 6/22	RV	42	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/16 - 6/22	3500 LV	40	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/9 - 6/15	3500 LV	39	37	45.7	51.4	2014	R	congressional	
Bloomberg	6/6 - 6/9	763 LV	43	43	45.7	51.4	2014	R	congressional	
Rasmussen Reports	6/2 - 6/8	3500 LV	41	37	45.7	51.4	2014	R	congressional	
FOX News	6/1 - 6/3	1006 RV	39	43	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	5/29 - 6/1	RV	47	45	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/26 - 6/1	3500 LV	41	38	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/19 - 5/25	3500 LV	42	38	45.7	51.4	2014	R	congressional	
CBS News	5/16 - 5/19	RV	40	39	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/12 - 5/18	3500 LV	41	37	45.7	51.4	2014	R	congressional	
FOX News	5/10 - 5/13	1025 RV	43	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	5/5 - 5/11	3500 LV	40	38	45.7	51.4	2014	R	congressional	
CNN/Opinion Research	5/2 - 5/4	911 RV	45	46	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/28 - 5/4	3500 LV	41	37	45.7	51.4	2014	R	congressional	
Gallup	4/24 - 4/30	RV	49	44	45.7	51.4	2014	R	congressional	
ABC News/Wash Post	4/24 - 4/27	855 RV	45	44	45.7	51.4	2014	R	congressional	
USA Today/Pew Research	4/23 - 4/27	1162 RV	43	47	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/21 - 4/27	3500 LV	38	40	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/14 - 4/20	3500 LV	40	41	45.7	51.4	2014	R	congressional	
FOX News	4/13 - 4/15	1012 RV	41	44	45.7	51.4	2014	R	congressional	
Rasmussen Reports	4/7 - 4/13	3500 LV	40	38	45.7	51.4	2014	R	congressional	
McClatchy/Marist	4/7 - 4/10	1036 RV	48	42	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/31 - 4/6	3500 LV	40	39	45.7	51.4	2014	R	congressional	
Quinnipiac	3/26 - 3/31	1578 RV	40	38	45.7	51.4	2014	R	congressional	
Reason-Rupe/PSRAI	3/26 - 3/30	1003 A	40	36	45.7	51.4	2014	R	congressional	
Rasmussen Reports	3/24 - 3/30	3500 LV	39	38	45.7	51.4	2014	R	congressional	
CBS News	3/20 - 3/23	RV	39	39	45.7	51.4	2014	R	congressional	
NPR/GQR/Resurgent	3/19 - 3/23	840 LV	44	43	45.7	51.4	2014	R	congressional	
