pollster,date,sampleSize,marginError,dvalue,rvalue,Year,Type,state
Emerson*,2016-10-04 00:00:00,600.0,3.9,44.0,42.0,2016,President,Arizona
OH Predictive Insights*,2016-09-30 00:00:00,718.0,3.7,42.0,42.0,2016,President,Arizona
NBC/WSJ/Marist,2016-09-08 00:00:00,649.0,3.8,41.0,42.0,2016,President,Arizona
Gravis*,2016-08-27 00:00:00,1244.0,2.8,40.0,44.0,2016,President,Arizona
OH Predictive Insights*,2016-08-27 00:00:00,728.0,3.6,40.0,39.0,2016,President,Arizona
Arizona Republic*,2016-08-31 00:00:00,704.0,3.3,35.0,34.0,2016,President,Arizona
CNN/ORC,2016-08-23 00:00:00,809.0,3.5,44.0,49.0,2016,President,Arizona
CBS News/YouGov*,2016-08-05 00:00:00,1095.0,4.8,42.0,44.0,2016,President,Arizona
PPP (D)*,2016-06-23 00:00:00,,3.7,40.0,44.0,2016,President,Arizona
OH Predictive Insights,2016-06-20 00:00:00,1060.0,3.0,47.0,42.0,2016,President,Arizona
PPP (D),2016-05-15 00:00:00,,3.3,41.0,45.0,2016,President,Arizona
Behavior Research Center,2016-04-11 00:00:00,,4.2,42.0,35.0,2016,President,Arizona
Merrill Poll,2016-03-11 00:00:00,701.0,3.7,38.0,38.0,2016,President,Arizona
rcp_average,2016-12-31 00:00:00,,,31.0,54.7,2016,President,Arkansas
The Arkansas Poll,2016-10-25 00:00:00,585.0,4.1,31.0,51.0,2016,President,Arkansas
Talk Business/Hendrix College*,2016-10-21 00:00:00,463.0,4.6,33.0,56.0,2016,President,Arkansas
Talk Business/Hendrix College*,2016-09-17 00:00:00,831.0,3.4,34.0,55.0,2016,President,Arkansas
Emerson*,2016-09-13 00:00:00,600.0,3.9,29.0,57.0,2016,President,Arkansas
Talk Business/Hendrix College*,2016-06-21 00:00:00,751.0,3.6,36.0,47.0,2016,President,Arkansas
rcp_average,2016-10-31 00:00:00,,,54.3,32.0,2016,President,California
KABC/SurveyUSA*,2016-10-31 00:00:00,747.0,3.6,56.0,35.0,2016,President,California
Field*,2016-10-31 00:00:00,1498.0,,53.0,33.0,2016,President,California
PPIC*,2016-10-23 00:00:00,1024.0,4.3,54.0,28.0,2016,President,California
KABC/SurveyUSA*,2016-10-15 00:00:00,725.0,3.7,56.0,30.0,2016,President,California
KABC/SurveyUSA*,2016-09-28 00:00:00,732.0,3.6,59.0,33.0,2016,President,California
PPIC*,2016-09-18 00:00:00,1055.0,4.5,47.0,31.0,2016,President,California
Field*,2016-09-13 00:00:00,1426.0,,50.0,33.0,2016,President,California
KABC/SurveyUSA*,2016-09-11 00:00:00,678.0,3.8,57.0,32.0,2016,President,California
PPIC*,2016-07-19 00:00:00,1056.0,4.3,46.0,30.0,2016,President,California
Field,2016-07-02 00:00:00,956.0,3.2,58.0,28.0,2016,President,California
CBS News/YouGov,2016-06-03 00:00:00,1187.0,3.9,48.0,33.0,2016,President,California
NBC/WSJ/Marist,2016-05-31 00:00:00,1833.0,2.3,55.0,31.0,2016,President,California
Field,2016-05-31 00:00:00,1002.0,3.2,53.0,34.0,2016,President,California
LA Times/USC,2016-05-31 00:00:00,,2.9,56.0,30.0,2016,President,California
KABC/SurveyUSA,2016-05-22 00:00:00,1383.0,2.7,52.0,38.0,2016,President,California
PPIC,2016-05-22 00:00:00,996.0,4.3,49.0,39.0,2016,President,California
Hoover/Golden State Poll,2016-05-16 00:00:00,1196.0,,45.0,33.0,2016,President,California
KABC/SurveyUSA,2016-04-30 00:00:00,1683.0,2.4,56.0,34.0,2016,President,California
Field,2016-04-04 00:00:00,,3.2,59.0,31.0,2016,President,California
SurveyUSA,2016-04-03 00:00:00,1507.0,2.5,60.0,26.0,2016,President,California
LA Times,2016-03-23 00:00:00,1202.0,,57.0,30.0,2016,President,California
rcp_average,2016-11-04 00:00:00,,,44.0,41.0,2016,President,Colorado
PPP (D),2016-11-04 00:00:00,704.0,3.7,50.0,45.0,2016,President,Colorado
Gravis*,2016-11-02 00:00:00,,2.9,40.0,40.0,2016,President,Colorado
Keating Research (D)*,2016-11-03 00:00:00,605.0,4.0,43.0,38.0,2016,President,Colorado
Trafalgar Group (R)*,2016-11-03 00:00:00,1150.0,3.0,45.0,44.0,2016,President,Colorado
Magellan Strategies (R)*,2016-11-02 00:00:00,500.0,4.4,44.0,38.0,2016,President,Colorado
University of Denver,2016-10-31 00:00:00,550.0,4.2,42.0,41.0,2016,President,Colorado
Emerson*,2016-10-31 00:00:00,750.0,3.5,44.0,41.0,2016,President,Colorado
Remington Research (R)*,2016-10-30 00:00:00,1176.0,2.9,45.0,44.0,2016,President,Colorado
CBS News/YouGov*,2016-10-28 00:00:00,997.0,4.1,42.0,39.0,2016,President,Colorado
Remington Research (R)*,2016-10-22 00:00:00,1581.0,2.5,45.0,43.0,2016,President,Colorado
Quinnipiac,2016-10-16 00:00:00,685.0,3.7,51.0,40.0,2016,President,Colorado
Gravis*,2016-10-13 00:00:00,,2.8,44.0,39.0,2016,President,Colorado
Magellan Strategies (R)*,2016-10-13 00:00:00,500.0,4.4,40.0,35.0,2016,President,Colorado
Gravis*,2016-10-04 00:00:00,,2.8,40.0,40.0,2016,President,Colorado
Monmouth*,2016-10-02 00:00:00,400.0,4.9,49.0,38.0,2016,President,Colorado
Keating Research (D)*,2016-09-29 00:00:00,602.0,4.0,44.0,33.0,2016,President,Colorado
Gravis*,2016-09-23 00:00:00,,3.5,37.0,41.0,2016,President,Colorado
CNN/ORC,2016-09-25 00:00:00,784.0,3.5,49.0,47.0,2016,President,Colorado
CBS News/YouGov*,2016-09-23 00:00:00,991.0,4.4,40.0,39.0,2016,President,Colorado
Quinnipiac,2016-09-21 00:00:00,612.0,4.0,47.0,47.0,2016,President,Colorado
Rocky Mountain PBS,2016-09-18 00:00:00,350.0,6.3,44.0,35.0,2016,President,Colorado
Emerson*,2016-09-13 00:00:00,600.0,3.9,38.0,42.0,2016,President,Colorado
Magellan (R)*,2016-08-31 00:00:00,500.0,4.4,41.0,36.0,2016,President,Colorado
Quinnipiac,2016-08-16 00:00:00,830.0,3.4,49.0,39.0,2016,President,Colorado
NBC/WSJ/Marist,2016-08-10 00:00:00,,3.3,46.0,32.0,2016,President,Colorado
FOX News,2016-07-12 00:00:00,,4.0,44.0,34.0,2016,President,Colorado
Monmouth*,2016-07-12 00:00:00,404.0,4.9,48.0,35.0,2016,President,Colorado
NBC/WSJ/Marist,2016-07-11 00:00:00,,3.5,43.0,35.0,2016,President,Colorado
Harper (R),2016-07-09 00:00:00,500.0,4.4,45.0,38.0,2016,President,Colorado
Gravis,2016-07-08 00:00:00,,2.7,43.0,41.0,2016,President,Colorado
CBS News/YouGov,2016-06-24 00:00:00,996.0,4.3,40.0,39.0,2016,President,Colorado
Quinnipiac,2016-11-15 00:00:00,,2.8,37.0,48.0,2016,President,Colorado
rcp_average,2016-12-31 00:00:00,,,46.5,39.0,2016,President,Connecticut
Emerson*,2016-09-05 00:00:00,1000.0,3.0,50.0,35.0,2016,President,Connecticut
Quinnipiac,2016-06-05 00:00:00,,2.7,45.0,38.0,2016,President,Connecticut
Emerson,2016-04-11 00:00:00,1043.0,3.0,48.0,40.0,2016,President,Connecticut
Quinnipiac,2016-10-11 00:00:00,,2.4,47.0,40.0,2016,President,Connecticut
rcp_average,2016-12-31 00:00:00,,,46.5,31.0,2016,President,Delaware
University of Delaware*,2016-09-28 00:00:00,762.0,4.1,51.0,30.0,2016,President,Delaware
News Journal/PublicMind*,2016-07-24 00:00:00,,4.1,42.0,32.0,2016,President,Delaware
rcp_average,2016-11-06 00:00:00,,,46.6,47.0,2016,President,Florida
Trafalgar Group (R)*,2016-11-06 00:00:00,1100.0,2.9,46.0,50.0,2016,President,Florida
Opinion Savvy,2016-11-06 00:00:00,853.0,3.4,48.0,46.0,2016,President,Florida
Quinnipiac,2016-11-06 00:00:00,884.0,3.3,46.0,46.0,2016,President,Florida
CBS News/YouGov,2016-11-04 00:00:00,1188.0,3.6,45.0,45.0,2016,President,Florida
Remington Research (R)*,2016-11-02 00:00:00,2352.0,2.0,45.0,48.0,2016,President,Florida
Gravis*,2016-11-02 00:00:00,,2.8,46.0,45.0,2016,President,Florida
CNN/ORC,2016-11-01 00:00:00,773.0,3.5,50.0,49.0,2016,President,Florida
FOX 13/Opinion Savvy*,2016-11-02 00:00:00,603.0,4.0,49.0,45.0,2016,President,Florida
Gravis,2016-10-31 00:00:00,,2.2,51.0,49.0,2016,President,Florida
Remington Research (R)*,2016-10-30 00:00:00,989.0,3.1,44.0,48.0,2016,President,Florida
Quinnipiac,2016-11-01 00:00:00,626.0,3.9,47.0,45.0,2016,President,Florida
Trafalgar Group (R)*,2016-10-31 00:00:00,1150.0,2.9,45.0,49.0,2016,President,Florida
Emerson*,2016-10-27 00:00:00,500.0,4.3,46.0,45.0,2016,President,Florida
NY Times/Siena,2016-10-27 00:00:00,814.0,3.4,45.0,48.0,2016,President,Florida
NBC/WSJ/Marist*,2016-10-26 00:00:00,779.0,3.5,45.0,44.0,2016,President,Florida
Dixie Strategies*,2016-10-26 00:00:00,698.0,3.7,42.0,46.0,2016,President,Florida
Gravis*,2016-10-26 00:00:00,,2.7,48.0,47.0,2016,President,Florida
Bloomberg,2016-10-24 00:00:00,953.0,3.2,45.0,46.0,2016,President,Florida
Florida Atlantic University*,2016-10-23 00:00:00,500.0,4.3,46.0,43.0,2016,President,Florida
Univ. of North Florida,2016-10-25 00:00:00,819.0,3.4,46.0,44.0,2016,President,Florida
Bay News 9/SurveyUSA*,2016-10-24 00:00:00,1251.0,2.8,48.0,45.0,2016,President,Florida
Remington Research (R)*,2016-10-22 00:00:00,1646.0,2.4,46.0,46.0,2016,President,Florida
CBS News/YouGov*,2016-10-21 00:00:00,1042.0,3.6,46.0,43.0,2016,President,Florida
FOX 13/Opinion Savvy*,2016-10-20 00:00:00,538.0,4.2,49.0,45.0,2016,President,Florida
Quinnipiac,2016-10-16 00:00:00,660.0,3.8,49.0,45.0,2016,President,Florida
PPP (D),2016-10-13 00:00:00,985.0,3.1,49.0,44.0,2016,President,Florida
Gravis*,2016-10-13 00:00:00,,2.3,46.0,42.0,2016,President,Florida
Opinion Savvy*,2016-10-11 00:00:00,533.0,4.2,47.0,44.0,2016,President,Florida
NBC/WSJ/Marist,2016-10-05 00:00:00,700.0,3.7,46.0,44.0,2016,President,Florida
Gravis*,2016-10-04 00:00:00,,3.4,47.0,45.0,2016,President,Florida
Emerson*,2016-10-04 00:00:00,600.0,3.9,44.0,45.0,2016,President,Florida
Univ. of North Florida,2016-10-04 00:00:00,661.0,3.8,47.0,40.0,2016,President,Florida
Quinnipiac,2016-10-02 00:00:00,545.0,4.2,49.0,44.0,2016,President,Florida
FOX 13/Opinion Savvy*,2016-09-29 00:00:00,619.0,4.0,47.0,46.0,2016,President,Florida
Mason-Dixon*,2016-09-29 00:00:00,820.0,3.5,46.0,42.0,2016,President,Florida
Suffolk*,2016-09-21 00:00:00,500.0,4.4,44.0,45.0,2016,President,Florida
FL Chamber*,2016-09-20 00:00:00,617.0,4.0,45.0,42.0,2016,President,Florida
Monmouth*,2016-09-19 00:00:00,400.0,4.9,46.0,41.0,2016,President,Florida
NY Times/Siena,2016-09-14 00:00:00,867.0,3.3,43.0,43.0,2016,President,Florida
CNN/ORC,2016-09-12 00:00:00,788.0,3.5,46.0,50.0,2016,President,Florida
CBS News/YouGov*,2016-09-09 00:00:00,1193.0,3.5,44.0,42.0,2016,President,Florida
JMC Analytics*,2016-09-08 00:00:00,781.0,3.5,42.0,46.0,2016,President,Florida
PPP (D),2016-09-06 00:00:00,744.0,3.6,47.0,46.0,2016,President,Florida
Quinnipiac,2016-09-07 00:00:00,761.0,3.6,47.0,47.0,2016,President,Florida
Mason-Dixon*,2016-08-24 00:00:00,625.0,4.0,44.0,42.0,2016,President,Florida
Florida Atlantic University*,2016-08-22 00:00:00,1200.0,2.7,41.0,43.0,2016,President,Florida
FL Chamber,2016-08-22 00:00:00,608.0,4.0,43.0,44.0,2016,President,Florida
Monmouth*,2016-08-15 00:00:00,402.0,4.9,48.0,39.0,2016,President,Florida
CBS News/YouGov*,2016-08-12 00:00:00,1194.0,3.6,45.0,40.0,2016,President,Florida
FOX 13/Opinion Savvy*,2016-08-10 00:00:00,622.0,4.0,45.0,44.0,2016,President,Florida
NBC/WSJ/Marist,2016-08-10 00:00:00,,3.3,44.0,39.0,2016,President,Florida
Quinnipiac,2016-08-07 00:00:00,1056.0,3.0,46.0,45.0,2016,President,Florida
Suffolk University,2016-08-03 00:00:00,500.0,4.4,48.0,42.0,2016,President,Florida
JMC Analytics*,2016-07-10 00:00:00,700.0,3.7,42.0,47.0,2016,President,Florida
NBC/WSJ/Marist,2016-07-11 00:00:00,,3.3,44.0,37.0,2016,President,Florida
Quinnipiac,2016-07-11 00:00:00,,3.1,39.0,42.0,2016,President,Florida
Gravis*,2016-06-28 00:00:00,,2.4,49.0,49.0,2016,President,Florida
Bay News 9/SurveyUSA*,2016-06-27 00:00:00,1678.0,2.4,46.0,42.0,2016,President,Florida
CBS News/YouGov,2016-06-24 00:00:00,1192.0,3.6,44.0,41.0,2016,President,Florida
Quinnipiac,2016-06-19 00:00:00,,3.1,47.0,39.0,2016,President,Florida
PPP (D),2016-06-05 00:00:00,,3.6,44.0,45.0,2016,President,Florida
Mason-Dixon*,2016-06-02 00:00:00,625.0,4.0,45.0,42.0,2016,President,Florida
Gravis,2016-05-18 00:00:00,,,46.0,42.0,2016,President,Florida
CBS News/YouGov,2016-05-19 00:00:00,995.0,4.0,43.0,42.0,2016,President,Florida
Quinnipiac,2016-05-08 00:00:00,,3.0,43.0,42.0,2016,President,Florida
AIF (R)**,2016-04-27 00:00:00,604.0,5.0,49.0,36.0,2016,President,Florida
NBC/WSJ/Marist,2016-03-10 00:00:00,,2.0,49.0,41.0,2016,President,Florida
News 13/SurveyUSA,2016-03-06 00:00:00,1961.0,2.3,44.0,45.0,2016,President,Florida
CNN/ORC,2016-03-06 00:00:00,,3.5,50.0,43.0,2016,President,Florida
PPP (D),2016-02-25 00:00:00,,3.1,44.0,46.0,2016,President,Florida
Florida Atlantic University,2016-01-18 00:00:00,,3.0,44.0,47.0,2016,President,Florida
Florida Atlantic University,2016-11-16 00:00:00,,3.3,41.0,49.0,2016,President,Florida
News 13/SurveyUSA,2016-11-01 00:00:00,2400.0,2.0,43.0,47.0,2016,President,Florida
Quinnipiac,2016-10-05 00:00:00,,2.9,46.0,41.0,2016,President,Florida
FL Chamber,2016-09-20 00:00:00,605.0,4.0,42.0,41.0,2016,President,Florida
PPP (D),2016-09-13 00:00:00,,3.4,42.0,48.0,2016,President,Florida
Quinnipiac,2016-08-18 00:00:00,,3.0,41.0,43.0,2016,President,Florida
rcp_average,2016-11-06 00:00:00,,,44.8,49.6,2016,President,Georgia
Landmark/Rosetta Stone*,2016-11-06 00:00:00,1200.0,2.8,46.0,49.0,2016,President,Georgia
Trafalgar Group (R),2016-11-06 00:00:00,1250.0,2.8,45.0,52.0,2016,President,Georgia
Opinion Savvy*,2016-11-03 00:00:00,538.0,4.2,45.0,49.0,2016,President,Georgia
NBC/WSJ/Marist,2016-11-01 00:00:00,707.0,3.7,46.0,47.0,2016,President,Georgia
Emerson*,2016-10-31 00:00:00,650.0,3.8,42.0,51.0,2016,President,Georgia
WSB-TV/Landmark*,2016-11-03 00:00:00,1000.0,3.1,46.0,48.0,2016,President,Georgia
WXIA-TV/SurveyUSA*,2016-10-27 00:00:00,593.0,4.2,42.0,49.0,2016,President,Georgia
Quinnipiac,2016-10-26 00:00:00,707.0,3.7,46.0,46.0,2016,President,Georgia
Landmark Communications*,2016-10-20 00:00:00,600.0,4.0,43.0,47.0,2016,President,Georgia
FOX 5/Opinion Savvy*,2016-10-20 00:00:00,570.0,4.1,46.0,50.0,2016,President,Georgia
Atlanta Journal-Constitution*,2016-10-20 00:00:00,839.0,4.3,42.0,44.0,2016,President,Georgia
Landmark Communications*,2016-10-12 00:00:00,1400.0,2.7,42.0,48.0,2016,President,Georgia
WSB-TV/Landmark*,2016-09-22 00:00:00,600.0,4.0,43.0,47.0,2016,President,Georgia
JMC Analytics*,2016-09-22 00:00:00,600.0,4.0,38.0,44.0,2016,President,Georgia
Quinnipiac,2016-09-21 00:00:00,659.0,3.9,44.0,50.0,2016,President,Georgia
Monmouth*,2016-09-18 00:00:00,401.0,4.9,42.0,45.0,2016,President,Georgia
FOX 5/Opinion Savvy*,2016-09-14 00:00:00,568.0,4.1,42.0,46.0,2016,President,Georgia
Emerson*,2016-09-13 00:00:00,600.0,3.9,39.0,45.0,2016,President,Georgia
NBC/WSJ/Marist,2016-09-08 00:00:00,649.0,3.8,43.0,46.0,2016,President,Georgia
FOX 5 Atlanta*,2016-08-17 00:00:00,730.0,3.6,43.0,43.0,2016,President,Georgia
CBS News/YouGov*,2016-08-12 00:00:00,990.0,4.3,41.0,45.0,2016,President,Georgia
Gravis,2016-08-08 00:00:00,,2.5,44.0,45.0,2016,President,Georgia
JMC Analytics*,2016-08-07 00:00:00,615.0,4.0,44.0,37.0,2016,President,Georgia
Atlanta Journal-Constitution,2016-08-04 00:00:00,,4.0,44.0,40.0,2016,President,Georgia
WSB-TV/Landmark*,2016-07-31 00:00:00,787.0,4.0,45.0,45.0,2016,President,Georgia
WXIA-TV/SurveyUSA*,2016-07-31 00:00:00,628.0,4.0,42.0,46.0,2016,President,Georgia
WSB-TV/Landmark*,2016-07-24 00:00:00,500.0,4.4,44.0,46.0,2016,President,Georgia
PPP (D),2016-05-30 00:00:00,,3.6,40.0,49.0,2016,President,Georgia
FOX 5/Opinion Savvy*,2016-05-15 00:00:00,587.0,4.0,41.0,44.0,2016,President,Georgia
Atlanta Journal-Constitution,2016-05-12 00:00:00,,4.3,41.0,45.0,2016,President,Georgia
WSB-TV/Landmark,2016-05-05 00:00:00,570.0,4.1,41.0,42.0,2016,President,Georgia
TEGNA/SurveyUSA,2016-02-23 00:00:00,1261.0,2.8,41.0,50.0,2016,President,Georgia
WXIA-TV/SurveyUSA,2016-10-26 00:00:00,481.0,4.0,37.0,46.0,2016,President,Georgia
Emerson*,2016-10-23 00:00:00,1023.0,3.0,23.0,52.0,2016,President,Idaho
Idaho Politics/Dan Jones*,2016-10-09 00:00:00,608.0,4.0,30.0,40.0,2016,President,Idaho
Idaho Politics/Dan Jones*,2016-08-31 00:00:00,602.0,4.0,23.0,44.0,2016,President,Idaho
Idaho Politics/Dan Jones*,2016-07-16 00:00:00,601.0,4.0,23.0,44.0,2016,President,Idaho
rcp_average,2016-10-30 00:00:00,,,49.0,37.5,2016,President,Illinois
Emerson*,2016-10-30 00:00:00,500.0,4.3,53.0,41.0,2016,President,Illinois
Loras*,2016-10-27 00:00:00,600.0,4.0,45.0,34.0,2016,President,Illinois
The Simon Poll/SIU*,2016-10-02 00:00:00,865.0,3.3,53.0,28.0,2016,President,Illinois
Emerson*,2016-09-21 00:00:00,700.0,3.6,45.0,39.0,2016,President,Illinois
Loras,2016-09-16 00:00:00,600.0,4.0,47.0,33.0,2016,President,Illinois
NBC/WSJ/Marist,2016-03-10 00:00:00,,2.2,57.0,32.0,2016,President,Illinois
PPP (D),2016-07-21 00:00:00,,3.2,51.0,33.0,2016,President,Illinois
rcp_average,2016-11-03 00:00:00,,,38.3,49.0,2016,President,Indiana
WTHR/Howey Politics*,2016-11-03 00:00:00,600.0,4.0,37.0,48.0,2016,President,Indiana
Gravis*,2016-11-01 00:00:00,,4.9,39.0,49.0,2016,President,Indiana
Monmouth*,2016-10-30 00:00:00,402.0,4.9,39.0,50.0,2016,President,Indiana
Gravis*,2016-10-24 00:00:00,596.0,2.3,38.0,49.0,2016,President,Indiana
WISH-TV*,2016-10-16 00:00:00,544.0,4.8,37.0,43.0,2016,President,Indiana
Monmouth*,2016-10-13 00:00:00,402.0,4.9,41.0,45.0,2016,President,Indiana
WTHR/Howey Politics*,2016-10-05 00:00:00,600.0,4.0,38.0,43.0,2016,President,Indiana
WTHR/Howey Politics*,2016-09-08 00:00:00,600.0,4.0,36.0,43.0,2016,President,Indiana
Monmouth*,2016-08-16 00:00:00,403.0,4.9,36.0,47.0,2016,President,Indiana
NBC/WSJ/Marist,2016-04-28 00:00:00,,2.1,41.0,48.0,2016,President,Indiana
WTHR/Howey Politics,2016-04-21 00:00:00,500.0,4.0,39.0,47.0,2016,President,Indiana
rcp_average,2016-11-04 00:00:00,,,41.3,44.3,2016,President,Iowa
Des Moines Register*,2016-11-04 00:00:00,800.0,3.5,39.0,46.0,2016,President,Iowa
Emerson*,2016-11-03 00:00:00,700.0,3.6,41.0,44.0,2016,President,Iowa
Loras*,2016-11-03 00:00:00,500.0,4.4,44.0,43.0,2016,President,Iowa
Quinnipiac,2016-10-26 00:00:00,791.0,3.5,46.0,47.0,2016,President,Iowa
Des Moines Register*,2016-10-06 00:00:00,642.0,3.9,39.0,43.0,2016,President,Iowa
Loras,2016-09-22 00:00:00,491.0,4.4,42.0,42.0,2016,President,Iowa
Quinnipiac,2016-09-21 00:00:00,612.0,4.0,44.0,50.0,2016,President,Iowa
Monmouth*,2016-09-14 00:00:00,404.0,4.9,37.0,45.0,2016,President,Iowa
Emerson*,2016-09-01 00:00:00,600.0,3.9,39.0,44.0,2016,President,Iowa
CBS News/YouGov*,2016-08-19 00:00:00,987.0,4.0,40.0,40.0,2016,President,Iowa
Quinnipiac,2016-08-16 00:00:00,846.0,3.4,47.0,44.0,2016,President,Iowa
Suffolk University,2016-08-10 00:00:00,500.0,4.4,40.0,41.0,2016,President,Iowa
NBC/WSJ/Marist,2016-08-07 00:00:00,,3.3,41.0,37.0,2016,President,Iowa
CBS News/YouGov*,2016-07-15 00:00:00,998.0,4.8,39.0,40.0,2016,President,Iowa
Monmouth*,2016-07-11 00:00:00,401.0,4.9,42.0,44.0,2016,President,Iowa
Gravis,2016-07-08 00:00:00,,2.7,42.0,40.0,2016,President,Iowa
NBC/WSJ/Marist,2016-07-10 00:00:00,,3.4,42.0,39.0,2016,President,Iowa
Loras College,2016-06-28 00:00:00,600.0,4.0,48.0,34.0,2016,President,Iowa
PPP (D)*,2016-06-23 00:00:00,,3.3,41.0,39.0,2016,President,Iowa
PPP (D),2016-01-10 00:00:00,,2.3,42.0,42.0,2016,President,Iowa
NBC/WSJ/Marist,2016-01-07 00:00:00,,2.6,48.0,40.0,2016,President,Iowa
PPP (D),2016-12-13 00:00:00,,2.6,45.0,43.0,2016,President,Iowa
PPP (D),2016-11-01 00:00:00,,2.4,44.0,44.0,2016,President,Iowa
NBC/WSJ/Marist,2016-09-30 00:00:00,,3.0,41.0,48.0,2016,President,Iowa
NBC/Marist,2016-09-02 00:00:00,,3.1,43.0,48.0,2016,President,Iowa
PPP (D),2016-08-09 00:00:00,,2.5,43.0,40.0,2016,President,Iowa
rcp_average,2016-12-31 00:00:00,,,33.0,44.0,2016,President,Kansas
Fort Hays St. University,2016-11-03 00:00:00,313.0,5.5,34.0,58.0,2016,President,Kansas
KSN News/SurveyUSA*,2016-10-15 00:00:00,581.0,4.1,36.0,47.0,2016,President,Kansas
KSN News/SurveyUSA*,2016-09-11 00:00:00,595.0,4.1,36.0,48.0,2016,President,Kansas
KSN News/SurveyUSA*,2016-08-07 00:00:00,566.0,4.2,39.0,44.0,2016,President,Kansas
Fort Hays St. University*,2016-07-21 00:00:00,542.0,,27.0,44.0,2016,President,Kansas
KSN News/SurveyUSA*,2016-07-11 00:00:00,559.0,4.2,36.0,47.0,2016,President,Kansas
Western Kentucky Univ.*,2016-10-30 00:00:00,602.0,4.0,37.0,54.0,2016,President,Kentucky
Harper (R)*,2016-08-01 00:00:00,,4.4,36.0,49.0,2016,President,Kentucky
rcp_average,2016-12-31 00:00:00,,,34.7,51.0,2016,President,Louisiana
SMOR*,2016-10-21 00:00:00,500.0,4.4,35.0,50.0,2016,President,Louisiana
FOX 8/Mason-Dixon*,2016-10-19 00:00:00,625.0,4.0,34.0,54.0,2016,President,Louisiana
University of New Orleans*,2016-10-21 00:00:00,603.0,4.0,35.0,49.0,2016,President,Louisiana
JMC Analytics*,2016-10-15 00:00:00,800.0,3.5,38.0,45.0,2016,President,Louisiana
JMC Analytics*,2016-09-24 00:00:00,905.0,3.3,35.0,45.0,2016,President,Louisiana
SMOR*,2016-09-17 00:00:00,500.0,4.4,33.0,49.0,2016,President,Louisiana
JMC Analytics,2016-05-06 00:00:00,624.0,3.9,36.0,52.0,2016,President,Louisiana
WWL-TV/Clarus,2016-09-23 00:00:00,,3.5,39.0,47.0,2016,President,Louisiana
rcp_average,2016-10-30 00:00:00,,,50.0,40.0,2016,President,Maine CD1
Emerson*,2016-10-30 00:00:00,375.0,5.0,49.0,43.0,2016,President,Maine CD1
MPRC (D),2016-10-26 00:00:00,429.0,4.7,51.0,37.0,2016,President,Maine CD1
Press Herald/UNH*,2016-10-25 00:00:00,329.0,5.4,54.0,34.0,2016,President,Maine CD1
MPRC (D),2016-10-09 00:00:00,892.0,3.3,53.0,36.0,2016,President,Maine CD1
Press Herald/UNH,2016-09-20 00:00:00,266.0,6.0,50.0,28.0,2016,President,Maine CD1
MPRC (D),2016-09-17 00:00:00,440.0,4.7,49.0,33.0,2016,President,Maine CD1
Colby College/SurveyUSA*,2016-09-10 00:00:00,387.0,5.3,49.0,31.0,2016,President,Maine CD1
Emerson*,2016-09-05 00:00:00,404.0,4.8,52.0,30.0,2016,President,Maine CD1
Press Herald/UNH,2016-06-21 00:00:00,222.0,,48.0,33.0,2016,President,Maine CD1
rcp_average,2016-10-30 00:00:00,,,43.5,42.5,2016,President,Maine CD2
Emerson*,2016-10-30 00:00:00,375.0,5.0,44.0,42.0,2016,President,Maine CD2
MPRC (D)*,2016-10-26 00:00:00,382.0,5.0,43.0,43.0,2016,President,Maine CD2
Press Herald/UNH*,2016-10-25 00:00:00,341.0,5.3,43.0,40.0,2016,President,Maine CD2
MPRC (D),2016-10-15 00:00:00,420.0,4.8,46.0,39.0,2016,President,Maine CD2
MPRC (D),2016-10-09 00:00:00,892.0,3.3,44.0,45.0,2016,President,Maine CD2
Press Herald/UNH,2016-09-20 00:00:00,231.0,6.0,34.0,48.0,2016,President,Maine CD2
MPRC (D),2016-09-17 00:00:00,396.0,4.9,42.0,47.0,2016,President,Maine CD2
Colby College/SurveyUSA*,2016-09-10 00:00:00,387.0,5.0,37.0,47.0,2016,President,Maine CD2
Emerson*,2016-09-05 00:00:00,400.0,3.4,36.0,41.0,2016,President,Maine CD2
Press Herald/UNH,2016-06-21 00:00:00,222.0,,36.0,37.0,2016,President,Maine CD2
rcp_average,2016-12-31 00:00:00,,,58.3,25.7,2016,President,Maryland
Wash Post/Univ. of Maryland*,2016-09-30 00:00:00,706.0,4.0,63.0,27.0,2016,President,Maryland
Goucher College*,2016-09-20 00:00:00,514.0,4.3,58.0,25.0,2016,President,Maryland
OpinionWorks*,2016-08-30 00:00:00,754.0,3.6,54.0,25.0,2016,President,Maryland
PPP (D),2016-04-17 00:00:00,,3.3,61.0,28.0,2016,President,Maryland
NBC 4/Marist,2016-04-09 00:00:00,,1.9,63.0,27.0,2016,President,Maryland
Wash Post/Univ. of Maryland,2016-04-03 00:00:00,,,63.0,28.0,2016,President,Maryland
rcp_average,2016-11-02 00:00:00,,,56.7,27.3,2016,President,Massachusetts
Western NE University*,2016-11-02 00:00:00,417.0,5.0,56.0,26.0,2016,President,Massachusetts
Boston Globe/Suffolk*,2016-10-26 00:00:00,500.0,4.4,57.0,25.0,2016,President,Massachusetts
WBUR/MassINC,2016-10-16 00:00:00,502.0,4.4,57.0,31.0,2016,President,Massachusetts
Western NE University,2016-10-03 00:00:00,403.0,5.0,65.0,30.0,2016,President,Massachusetts
