pollster,date,sampleSize,dvalue,rvalue,year,winner,type,Type
Economist/YouGov,9/13/2022,1307,43,39,2022,R,congressional,congressional
FOX News,9/12/2022,1201,44,41,2022,R,congressional,congressional
NY Times/Siena,9/14/2022,1399,46,44,2022,R,congressional,congressional
Politico/Morning Consult,9/11/2022,2006,47,42,2022,R,congressional,congressional
Trafalgar Group (R),9/9/2022,1081,42,48,2022,R,congressional,congressional
Harvard-Harris,9/8/2022,1885,51,49,2022,R,congressional,congressional
Data for Progress (D)**,9/15/2022,4258,45,47,2022,R,congressional,congressional
Rasmussen Reports,9/8/2022,2500,42,46,2022,R,congressional,congressional
Economist/YouGov,9/6/2022,1337,44,38,2022,R,congressional,congressional
InsiderAdvantage,9/1/2022,500,45,44,2022,R,congressional,congressional
NPR/PBS/Marist,9/1/2022,1151,48,44,2022,R,congressional,congressional
Rasmussen Reports,9/1/2022,2500,42,47,2022,R,congressional,congressional
Trafalgar Group (R),8/30/2022,1084,41,47,2022,R,congressional,congressional
Economist/YouGov,8/30/2022,1342,46,38,2022,R,congressional,congressional
Quinnipiac,8/29/2022,1419,47,43,2022,R,congressional,congressional
Politico/Morning Consult,8/28/2022,2007,47,42,2022,R,congressional,congressional
CBS News Battleground Tracker,8/26/2022,1854,45,47,2022,R,congressional,congressional
Emerson,8/24/2022,1000,44,45,2022,R,congressional,congressional
Newsnation,8/23/2022,1028,42,45,2022,R,congressional,congressional
Rasmussen Reports,8/25/2022,2500,42,47,2022,R,congressional,congressional
Wall Street Journal,8/25/2022,1313,47,44,2022,R,congressional,congressional
Economist/YouGov,8/23/2022,1318,44,39,2022,R,congressional,congressional
Data for Progress (D)**,8/28/2022,8876,45,46,2022,R,congressional,congressional
Politico/Morning Consult,8/21/2022,2005,47,42,2022,R,congressional,congressional
Rasmussen Reports,8/18/2022,2500,41,46,2022,R,congressional,congressional
Trafalgar Group (R),8/16/2022,1091,42,47,2022,R,congressional,congressional
NBC News,8/16/2022,1000,45,47,2022,R,congressional,congressional
Politico/Morning Consult,8/14/2022,2005,46,42,2022,R,congressional,congressional
Economist/YouGov,8/16/2022,1315,45,39,2022,R,congressional,congressional
Rasmussen Reports,8/11/2022,2500,43,46,2022,R,congressional,congressional
Economist/YouGov,8/9/2022,1331,44,38,2022,R,congressional,congressional
FOX News,8/9/2022,1002,41,41,2022,R,congressional,congressional
Politico/Morning Consult,8/7/2022,2005,44,43,2022,R,congressional,congressional
Rasmussen Reports,8/4/2022,2500,43,46,2022,R,congressional,congressional
InsiderAdvantage,8/1/2022,800,44,45,2022,R,congressional,congressional
Economist/YouGov,8/2/2022,1325,44,39,2022,R,congressional,congressional
Monmouth,8/1/2022,751,49,46,2022,R,congressional,congressional
Politico/Morning Consult,7/31/2022,2006,45,43,2022,R,congressional,congressional
CBS News Battleground Tracker,7/29/2022,1537,43,45,2022,R,congressional,congressional
Harvard-Harris,7/28/2022,1885,50,50,2022,R,congressional,congressional
Rasmussen Reports,7/28/2022,2500,41,46,2022,R,congressional,congressional
Economist/YouGov,7/26/2022,1311,44,38,2022,R,congressional,congressional
USA Today/Suffolk,7/25/2022,1000,44,40,2022,R,congressional,congressional
Politico/Morning Consult,7/24/2022,2006,45,41,2022,R,congressional,congressional
Newsnation,7/24/2022,1000,44,43,2022,R,congressional,congressional
Trafalgar Group (R),7/22/2022,1085,40,48,2022,R,congressional,congressional
Emerson,7/20/2022,1078,44,45,2022,R,congressional,congressional
Data for Progress (D)**,7/25/2022,1353,45,48,2022,R,congressional,congressional
Rasmussen Reports,7/21/2022,2500,39,49,2022,R,congressional,congressional
GU Politics/Battleground,7/20/2022,800,48,46,2022,R,congressional,congressional
Economist/YouGov,7/19/2022,1278,43,40,2022,R,congressional,congressional
Quinnipiac,7/18/2022,1367,45,44,2022,R,congressional,congressional
Politico/Morning Consult,7/17/2022,2005,45,41,2022,R,congressional,congressional
Democracy Corps (D),7/16/2022,,48,51,2022,R,congressional,congressional
FOX News,7/13/2022,1001,41,44,2022,R,congressional,congressional
Rasmussen Reports,7/14/2022,2500,39,47,2022,R,congressional,congressional
Economist/YouGov,7/11/2022,1304,43,40,2022,R,congressional,congressional
Politico/Morning Consult,7/10/2022,2005,46,42,2022,R,congressional,congressional
CNBC,7/10/2022,,42,44,2022,R,congressional,congressional
NY Times/Siena,7/7/2022,,43,44,2022,R,congressional,congressional
InsiderAdvantage,7/6/2022,825,42,50,2022,R,congressional,congressional
Rasmussen Reports,7/7/2022,2000,40,48,2022,R,congressional,congressional
Economist/YouGov**,7/5/2022,1345,43,40,2022,R,congressional,congressional
Data for Progress (D)**,7/5/2022,1353,45,46,2022,R,congressional,congressional
CNN,7/13/2022,1203,46,46,2022,R,congressional,congressional
Monmouth,6/27/2022,910,46,48,2022,R,congressional,congressional
Harvard-Harris,6/29/2022,1308,50,50,2022,R,congressional,congressional
Emerson,6/29/2022,1271,43,46,2022,R,congressional,congressional
Rasmussen Reports,6/30/2022,2500,42,47,2022,R,congressional,congressional
Economist/YouGov,6/28/2022,1359,40,45,2022,R,congressional,congressional
Politico/Morning Consult,6/25/2022,2005,45,42,2022,R,congressional,congressional
NPR/PBS/Marist,6/25/2022,868,48,41,2022,R,congressional,congressional
Trafalgar Group (R),6/23/2022,1079,40,49,2022,R,congressional,congressional
Newsnation,6/21/2022,1006,43,43,2022,R,congressional,congressional
Rasmussen Reports,6/23/2022,2500,40,48,2022,R,congressional,congressional
Economist/YouGov,6/21/2022,1290,41,45,2022,R,congressional,congressional
Politico/Morning Consult,6/20/2022,2004,42,42,2022,R,congressional,congressional
Rasmussen Reports,6/16/2022,2500,41,46,2022,R,congressional,congressional
USA Today/Suffolk,6/15/2022,1000,40,40,2022,R,congressional,congressional
Economist/YouGov,6/14/2022,1304,42,46,2022,R,congressional,congressional
FOX News,6/13/2022,1002,44,47,2022,R,congressional,congressional
Politico/Morning Consult,6/12/2022,2005,44,42,2022,R,congressional,congressional
Democracy Corps (D),6/12/2022,,46,51,2022,R,congressional,congressional
Rasmussen Reports,6/9/2022,2500,39,48,2022,R,congressional,congressional
Economist/YouGov,6/7/2022,1314,43,45,2022,R,congressional,congressional
Quinnipiac,6/6/2022,1413,41,46,2022,R,congressional,congressional
Politico/Morning Consult,6/5/2022,2006,42,42,2022,R,congressional,congressional
Rasmussen Reports,6/2/2022,2500,40,48,2022,R,congressional,congressional
Economist/YouGov,5/31/2022,1280,43,43,2022,R,congressional,congressional
Rasmussen Reports,5/26/2022,2500,41,47,2022,R,congressional,congressional
Emerson,5/25/2022,1148,42,45,2022,R,congressional,congressional
Economist/YouGov,5/24/2022,1332,41,45,2022,R,congressional,congressional
Politico/Morning Consult,5/22/2022,2005,45,41,2022,R,congressional,congressional
Harvard-Harris,5/19/2022,1963,49,51,2022,R,congressional,congressional
Rasmussen Reports,5/19/2022,2500,39,48,2022,R,congressional,congressional
Economist/YouGov,5/17/2022,1342,43,40,2022,R,congressional,congressional
Politico/Morning Consult,5/16/2022,2005,44,42,2022,R,congressional,congressional
Quinnipiac,5/16/2022,1421,43,47,2022,R,congressional,congressional
NPR/PBS/Marist,5/13/2022,1213,47,42,2022,R,congressional,congressional
NBC News,5/10/2022,790,46,46,2022,R,congressional,congressional
Monmouth,5/9/2022,751,43,50,2022,R,congressional,congressional
Politico/Morning Consult,5/9/2022,2005,44,42,2022,R,congressional,congressional
Economist/YouGov,5/10/2022,1361,51,49,2022,R,congressional,congressional
CNN,5/5/2022,645,42,49,2022,R,congressional,congressional
Economist/YouGov,5/3/2022,1340,53,47,2022,R,congressional,congressional
CNN,5/1/2022,806,44,45,2022,R,congressional,congressional
FOX News,5/1/2022,1003,39,46,2022,R,congressional,congressional
Politico/Morning Consult,5/2/2022,2000,43,43,2022,R,congressional,congressional
Economist/YouGov,4/27/2022,1336,42,39,2022,R,congressional,congressional
ABC News/Wash Post,4/28/2022,907,46,45,2022,R,congressional,congressional
Emerson,4/26/2022,1000,41,47,2022,R,congressional,congressional
Federalist/Susquehanna,4/27/2022,800,39,49,2022,R,congressional,congressional
Politico/Morning Consult,4/25/2022,2004,43,42,2022,R,congressional,congressional
Quinnipiac,4/25/2022,1409,42,45,2022,R,congressional,congressional
Insider Advantage,4/23/2022,750,39,51,2022,R,congressional,congressional
NPR/PBS/Marist,4/26/2022,1162,44,47,2022,R,congressional,congressional
Harvard-Harris,4/21/2022,1966,50,50,2022,R,congressional,congressional
Trafalgar Group (R),4/20/2022,1077,39,48,2022,R,congressional,congressional
Economist/YouGov,4/19/2022,1260,43,38,2022,R,congressional,congressional
Politico/Morning Consult,4/17/2022,2005,43,42,2022,R,congressional,congressional
Rasmussen Reports,4/14/2022,2500,39,47,2022,R,congressional,congressional
Economist/YouGov,4/12/2022,1303,42,39,2022,R,congressional,congressional
Politico/Morning Consult,4/11/2022,2005,40,43,2022,R,congressional,congressional
Economist/YouGov,4/5/2022,1287,42,38,2022,R,congressional,congressional
Politico/Morning Consult,4/4/2022,2003,43,43,2022,R,congressional,congressional
Quinnipiac,4/4/2022,1280,43,47,2022,R,congressional,congressional
Economist/YouGov,3/29/2022,1313,41,39,2022,R,congressional,congressional
Politico/Morning Consult,3/27/2022,2006,42,41,2022,R,congressional,congressional
Harvard-Harris,3/24/2022,1990,47,53,2022,R,congressional,congressional
NBC News,3/22/2022,790,44,46,2022,R,congressional,congressional
Economist/YouGov,3/22/2022,1270,43,39,2022,R,congressional,congressional
FOX News,3/21/2022,1004,41,43,2022,R,congressional,congressional
Politico/Morning Consult,3/21/2022,2005,42,41,2022,R,congressional,congressional
Emerson,3/20/2022,1023,42,47,2022,R,congressional,congressional
Rasmussen Reports,3/17/2022,2500,39,50,2022,R,congressional,congressional
Politico/Morning Consult,3/14/2022,2005,42,43,2022,R,congressional,congressional
Monmouth,3/14/2022,746,46,46,2022,R,congressional,congressional
InsiderAdvantage,3/8/2022,750,40,48,2022,R,congressional,congressional
Economist/YouGov,3/8/2022,1227,44,39,2022,R,congressional,congressional
Politico/Morning Consult,3/6/2022,2005,43,41,2022,R,congressional,congressional
Wall Street Journal,3/7/2022,1500,41,46,2022,R,congressional,congressional
Economist/YouGov,3/1/2022,1205,42,38,2022,R,congressional,congressional
Politico/Morning Consult,2/27/2022,2004,42,41,2022,R,congressional,congressional
Harvard-Harris,2/24/2022,2026,49,51,2022,R,congressional,congressional
ABC News/Wash Post,2/24/2022,904,42,49,2022,R,congressional,congressional
Economist/YouGov,2/22/2022,1290,44,38,2022,R,congressional,congressional
FOX News,2/22/2022,1001,45,49,2022,R,congressional,congressional
Politico/Morning Consult,2/21/2022,2005,45,41,2022,R,congressional,congressional
Emerson,2/20/2022,1138,41,50,2022,R,congressional,congressional
USA Today/Suffolk,2/20/2022,1000,39,37,2022,R,congressional,congressional
Rasmussen Reports,2/17/2022,2500,37,50,2022,R,congressional,congressional
Economist/YouGov,2/15/2022,1231,42,37,2022,R,congressional,congressional
Politico/Morning Consult,2/13/2022,2005,41,43,2022,R,congressional,congressional
Quinnipiac,2/14/2022,1172,44,46,2022,R,congressional,congressional
Federalist/Susquehanna,2/9/2022,800,41,47,2022,R,congressional,congressional
Economist/YouGov,2/8/2022,1255,43,39,2022,R,congressional,congressional
Politico/Morning Consult,2/6/2022,2005,42,43,2022,R,congressional,congressional
Economist/YouGov,2/1/2022,1273,44,38,2022,R,congressional,congressional
Politico/Morning Consult,1/30/2022,2005,44,41,2022,R,congressional,congressional
CNN,2/6/2022,1257,43,44,2022,R,congressional,congressional
Monmouth,1/24/2022,735,43,51,2022,R,congressional,congressional
Insider Advantage,1/23/2022,850,42,49,2022,R,congressional,congressional
Economist/YouGov,1/25/2022,1249,42,38,2022,R,congressional,congressional
Politico/Morning Consult,1/23/2022,2005,42,42,2022,R,congressional,congressional
Harvard-Harris,1/20/2022,1815,47,53,2022,R,congressional,congressional
FOX News,1/19/2022,1001,43,44,2022,R,congressional,congressional
Economist/YouGov,1/18/2022,1153,43,39,2022,R,congressional,congressional
NBC News,1/18/2022,790,47,46,2022,R,congressional,congressional
Politico/Morning Consult,1/16/2022,2005,41,42,2022,R,congressional,congressional
Trafalgar Group (R),1/15/2022,1077,42,56,2022,R,congressional,congressional
Rasmussen Reports,1/13/2022,2500,39,48,2022,R,congressional,congressional
Economist/YouGov,1/11/2022,1258,42,37,2022,R,congressional,congressional
Quinnipiac,1/10/2022,1178,43,44,2022,R,congressional,congressional
Politico/Morning Consult,1/9/2022,2000,44,41,2022,R,congressional,congressional
Economist/YouGov,1/4/2022,1201,42,38,2022,R,congressional,congressional
USA Today/Suffolk,12/30/2021,1000,39,37,2022,R,congressional,congressional
Economist/YouGov,12/21/2021,1315,43,36,2022,R,congressional,congressional
Politico/Morning Consult,12/20/2021,1998,41,41,2022,R,congressional,congressional
CNBC/Change Research (D),12/20/2021,1895,45,44,2022,R,congressional,congressional
InsiderAdvantage,12/19/2021,750,43,48,2022,R,congressional,congressional
FOX News,12/14/2021,1002,39,43,2022,R,congressional,congressional
Rasmussen Reports,12/14/2021,2500,39,48,2022,R,congressional,congressional
Economist/YouGov,12/14/2021,1267,42,38,2022,R,congressional,congressional
Politico/Morning Consult,12/13/2021,1998,43,42,2022,R,congressional,congressional
CNBC,12/3/2021,800,34,44,2022,R,congressional,congressional
Economist/YouGov,12/7/2021,1265,42,39,2022,R,congressional,congressional
Politico/Morning Consult,12/6/2021,2000,44,41,2022,R,congressional,congressional
Harvard-Harris,12/2/2021,1989,50,50,2022,R,congressional,congressional
Economist/YouGov,11/30/2021,1272,42,37,2022,R,congressional,congressional
Economist/YouGov,11/23/2021,1249,40,40,2022,R,congressional,congressional
Wall Street Journal,11/22/2021,1500,41,44,2022,R,congressional,congressional
NPR/PBS/Marist,11/19/2021,969,46,41,2022,R,congressional,congressional
Economist/YouGov,11/16/2021,1299,42,38,2022,R,congressional,congressional
Politico/Morning Consult,11/15/2021,1998,43,43,2022,R,congressional,congressional
Quinnipiac,11/15/2021,1262,41,46,2022,R,congressional,congressional
Rasmussen Reports,11/11/2021,2500,38,51,2022,R,congressional,congressional
ABC News/Wash Post,11/10/2021,882,41,51,2022,R,congressional,congressional
Economist/YouGov,11/9/2021,1258,44,37,2022,R,congressional,congressional
Politico/Morning Consult,11/7/2021,1998,44,42,2022,R,congressional,congressional
USA Today/Suffolk,11/5/2021,1000,38,46,2022,R,congressional,congressional
Emerson,11/4/2021,1000,42,49,2022,R,congressional,congressional
CNN,11/4/2021,859,49,44,2022,R,congressional,congressional
Economist/YouGov,11/2/2021,1303,44,37,2022,R,congressional,congressional
Politico/Morning Consult,11/1/2021,1996,42,42,2022,R,congressional,congressional
Harvard-Harris,10/28/2021,1578,42,45,2022,R,congressional,congressional
Economist/YouGov,10/26/2021,1261,44,38,2022,R,congressional,congressional
NBC News,10/26/2021,820,47,45,2022,R,congressional,congressional
Politico/Morning Consult,10/24/2021,1999,44,42,2022,R,congressional,congressional
NPR/PBS/Marist,10/22/2021,1032,44,41,2022,R,congressional,congressional
Economist/YouGov,10/19/2021,1268,42,37,2022,R,congressional,congressional
Politico/Morning Consult,10/18/2021,1998,45,40,2022,R,congressional,congressional
CNBC,10/17/2021,800,43,41,2022,R,congressional,congressional
Economist/YouGov,10/12/2021,1266,45,37,2022,R,congressional,congressional
Politico/Morning Consult,10/11/2021,1999,43,41,2022,R,congressional,congressional
Economist/YouGov,10/5/2021,1261,43,36,2022,R,congressional,congressional
Politico/Morning Consult,10/4/2021,1998,43,42,2022,R,congressional,congressional
Quinnipiac,10/4/2021,1177,44,47,2022,R,congressional,congressional
Economist/YouGov,9/28/2021,1246,52,48,2022,R,congressional,congressional
Politico/Morning Consult,9/27/2021,1999,45,41,2022,R,congressional,congressional
NPR/PBS/Marist,9/26/2021,1029,46,38,2022,R,congressional,congressional
Economist/YouGov,9/21/2021,1281,52,48,2022,R,congressional,congressional
Politico/Morning Consult,9/20/2021,1998,44,40,2022,R,congressional,congressional
Quinnipiac,9/13/2021,,47,43,2022,R,congressional,congressional
CNBC/Change Research (D),9/2/2021,,49,45,2022,R,congressional,congressional
CNN,9/7/2021,1838,45,44,2022,R,congressional,congressional
NBC News,8/17/2021,790,47,46,2022,R,congressional,congressional
Federalist/Susquehanna**,8/18/2021,800,38,39,2022,R,congressional,congressional
Quinnipiac,8/2/2021,,45,44,2022,R,congressional,congressional
Democracy Corps (D),6/21/2021,2000,46,44,2022,R,congressional,congressional
Quinnipiac,5/24/2021,1316,49,40,2022,R,congressional,congressional
NBC News,4/20/2021,790,47,42,2022,R,congressional,congressional
Democracy Corps (D),2/23/2021,1000,48,42,2022,R,congressional,congressional
